season	contestant	age	dob	ethnic1	ethnic2	hometown
S01	BeBe Zahara Benet	28	03/20/81	Black		"Minneapolis, Minnesota"
S01	Nina Flowers	34	02/22/74	Puerto Rican		"Bayamón, Puerto Rico"
S01	Rebecca Glasscock	26	05/25/83	White		"Fort Lauderdale, Florida"
S01	Shannel	26	07/03/79			"Las Vegas, Nevada"
S01	Ongina	26	01/06/82	Filipino		"Los Angeles, California"
S01	Jade	32	11/18/84	Puerto Rican		"Chicago, Illinois"
S01	Akashia	32	02/19/85	Black		"Cleveland, Ohio"
S01	Tammie Brown	36	09/15/80	White		"Los Angeles, California"
S01	Victoria (Porkchop) Parker	39	01/16/69	White		"Raleigh, North Carolina"
S02	Tyra Sanchez	21	04/22/88	Black		"Orlando, Florida"
S02	Raven	30	04/08/79	Russian		"Riverside, California"
S02	Jujubee	25	06/21/84	Laotian		"Boston, Massachusetts"
S02	Tatianna	21	12/01/88	Black	Italian	"Falls Church, Virginia"
S02	Pandora Boxx	37	05/02/72	White		"Rochester, New York"
S02	Jessica Wild	29	06/10/80	Puerto Rican		"San Juan, Puerto Rico"
S02	Sahara Davenport	25	12/17/84	Black		"New York, New York"
S02	Morgan McMichaels	28	05/28/81	White		"Mira Loma, California"
S02	Sonique	26	05/02/83	White		"Atlanta, Georgia"
S02	Mystique Summers Madison	25	03/28/84	Black		"Chicago, Illinois"
S02	Nicole Paige Brooks	36	07/09/72	White		"Atlanta, Georgia"
S02	Shangela	28	11/22/81	Black	Saudi	"Paris, Texas"
S03	Raja	36	06/14/74			"Los Angeles, California"
S03	Manila Luzon	28	08/10/81			"Cottage Grove, Minnesota"
S03	Alexis Mateo	30	07/24/79			"Saint Petersburg, Florida"
S03	Yara Sofia	26	05/08/84			"Manatí, Puerto Rico"
S03	Carmen Carrera	25	04/13/85			"Elmwood Park, New Jersey"
S03	Shangela	29	11/22/81			"Paris, Texas"
S03	Delta Work	34	01/23/76			"Norwalk, California"
S03	Stacy Layne Matthews	25	07/19/84			"Back Swamp, North Carolina"
S03	Mariah	29	02/13/82			"Atlanta, Georgia"
S03	India Ferrah	23	05/08/86			"Dayton, Ohio"
S03	Mimi Imfurst	27	03/02/83			"New York, New York"
S03	Phoenix	29	12/11/79			"Atlanta, Georgia"
S03	Venus D-Lite	26	09/19/84			"Los Angeles, California"
S04	Sharon Needles	29	11/28/81			"Pittsburgh, Pennsylvania"
S04	Chad Michaels	40	03/20/71			"San Diego, California"
S04	Phi Phi O'Hara	25	10/10/85			"Chicago, Illinois"
S04	Latrice Royale	39	02/12/72			"South Beach, Florida"
S04	Kenya Michaels	21	05/08/90			"Dorado, Puerto Rico"
S04	DiDa Ritz	25	12/20/86			"Chicago, Illinois"
S04	Willam	29	06/30/82			"Los Angeles, California"
S04	Jiggly Caliente	30	11/29/81			"Queens, New York"
S04	Milan	36	05/27/75			"Florence, South Carolina"
S04	Madame LaQueer	29	10/05/82			"Carolina, Puerto Rico"
S04	The Princess	32	02/27/80			"Chicago, Illinois"
S04	Lashauwn Beyond	21	11/11/89			"Fort Lauderdale,Florida"
S04	Alisa Summers	23	06/15/88			"Tampa, Florida"
S05	Jinkx Monsoon	24	09/18/87			"Seattle, Washington"
S05	Alaska	27	03/06/85			"Pittsburgh, Pennsylvania"
S05	Roxxxy Andrews	28	09/23/83			"Orlando, Florida"
S05	Detox	27	06/03/85			"Los Angeles, California"
S05	Coco Montrese	37	7/2/74			"Las Vegas, Nevada"
S05	Alyssa Edwards	32	01/16/80			"Mesquite, Texas"
S05	Ivy Winters	26	10/05/86			"New York, New York"
S05	Jade Jolie	25	11/02/86			"Gainesville, Florida"
S05	Lineysha Sparx	24	07/08/88			"San Juan, Puerto Rico"
S05	Vivienne Pinay	26	08/02/85			"New York, New York"
S05	Honey Mahogany	29	12/28/83			"San Francisco, California"
S05	Monica Beverly Hillz	27	01/31/85			"Owensboro, Kentucky"
S05	Serena ChaCha	21	09/17/90			"Tallahassee, Florida"
S05	Penny Tration	39	10/12/72			"Cincinnati, Ohio"
S06	Bianca Del Rio	36	06/27/75			"New Orleans, Louisiana"
S06	Adore Delano	23	09/29/89			"Azusa, California"
S06	Courtney Act	31	02/18/82			"West Hollywood, California"
S06	Darienne Lake	41	11/27/71			"Rochester, New York"
S06	BenDeLaCreme	31	09/24/82			"Seattle, Washington"
S06	Joslyn Fox	26	07/27/86			"Worcester, Massachusetts"
S06	Trinity K. Bonet[g]	22	01/31/91			"Atlanta, Georgia"
S06	Laganja Estranja	24	12/28/88			"Van Nuys, California"
S06	Milk	25	06/23/87			"New York, New York"
S06	Gia Gunn	23	05/10/90			"Chicago, Illinois"
S06	April Carrión	24	04/23/89			"Guaynabo, Puerto Rico"
S06	Vivacious	40	03/07/74			"New York, New York"
S06	Magnolia Crawford	27	04/14/85			"Seattle, Washington"
S06	Kelly Mantle	37	07/09/76			"Los Angeles, California"
S07	Violet Chachki	22	06/13/92			"Atlanta, Georgia"
S07	Ginger Minj	29	09/11/84			"Orlando, Florida"
S07	Pearl	23	09/11/90			"Brooklyn, New York"
S07	Kennedy Davenport	33	09/09/82			"Dallas, Texas"
S07	Katya	32	05/01/82			"Boston, Massachusetts"
S07	Trixie Mattel	26	08/23/89			"Milwaukee, Wisconsin"
S07	Miss Fame	29	03/30/85			"New York, New York"
S07	Jaidynn Diore Fierce	25	12/17/88			"Nashville, Tennessee"
S07	Max	22	06/24/92			"Hudson, Wisconsin"
S07	Kandy Ho	28	09/24/87			"Cayey, Puerto Rico"
S07	Mrs. Kasha Davis	43	03/12/71			"Rochester, New York"
S07	Jasmine Masters	37	10/16/77			"Los Angeles, California"
S07	Sasha Belle	28	03/19/86			"Iowa City, Iowa"
